Date,High,Low,Open,Close,Volume,Adj Close
01-11-1999,80.69,77.37,80,77.62,2487300,0.596878742
02-11-1999,81.69,77.31,78,80.25,3564600,0.617102797
03-11-1999,83.25,81,81.62,81.5,2932700,0.62671499
04-11-1999,85.37,80.62,82.06,83.62,3384700,0.643017269
05-11-1999,88.37,84,84.62,88.31,3721500,0.679082218
08-11-1999,97.73,86.75,87.75,96.37,8490400,0.741061639
09-11-1999,94.5,88,94.37,89.62,7224800,0.689155796
10-11-1999,93.25,88.12,88.25,91.44,5159800,0.703151149
11-11-1999,92.62,89.87,91.59,92.25,2409600,0.70937985
12-11-1999,92,87.37,91.94,90.62,2491600,0.696845551
15-11-1999,92.87,88.5,89.62,89.44,2320600,0.68777164
16-11-1999,91.75,88.5,90,91.19,2088000,0.701228711
17-11-1999,94.75,90,90.69,90.25,3255100,0.694000341
18-11-1999,91.12,88.44,91.06,89.62,3257000,0.689155796
19-11-1999,92.87,88.06,89.5,92.44,2790300,0.710840904
22-11-1999,91.75,89.25,91.75,90.62,1806800,0.696845551
23-11-1999,95.25,88.5,91.75,92.81,4851000,0.713686113
24-11-1999,95,91.69,93,94.69,1920600,0.728142851
26-11-1999,95.5,94.12,94.75,95.06,1179200,0.730988061
29-11-1999,99.75,93.25,94.25,94.56,4144300,0.727143183
30-11-1999,103.75,97.37,98.12,97.87,7528400,0.752596271
01-12-1999,104.5,100.06,101,103.06,5522900,0.792506096
02-12-1999,110.62,101.75,103.12,110.19,5065700,0.847334046
03-12-1999,115.56,111.87,112.19,115,5785000,0.884321765
06-12-1999,117.31,111.44,114.56,116,4167700,0.892011519
07-12-1999,118,114,116.56,117.81,3973400,0.905929975
08-12-1999,117.87,109.5,116.25,110.06,3681700,0.846334378
09-12-1999,111,100.87,111,105.25,7635700,0.809346659
10-12-1999,109.25,99,105.31,103,5694300,0.792044711
13-12-1999,102.5,98.94,102.39,99,4731800,0.761285693
14-12-1999,99.75,94.75,98.37,94.87,3891700,0.729527007
15-12-1999,97.25,91.06,93.25,97,5562300,0.745906184
16-12-1999,98.37,94,98,98.31,4141300,0.755979763
17-12-1999,102,98.5,100.87,100,4419700,0.768975448
20-12-1999,99.62,96.62,99.56,98,2535600,0.753595939
21-12-1999,103.06,97.94,98.19,102.5,2746400,0.788199834
22-12-1999,104.56,98.75,102.87,99.94,2920300,0.768514062
23-12-1999,104.25,101.06,101.81,103.5,2049400,0.795889588
27-12-1999,104.44,99.25,104.37,99.31,1503500,0.763669517
28-12-1999,99.62,95,99.12,98.19,2210500,0.755056992
29-12-1999,102.19,95.5,96.81,100.69,2540200,0.774281378
30-12-1999,104.12,99.62,102.19,100.31,1849500,0.771359272
31-12-1999,102.87,99.5,100.94,102.81,1462600,0.790583658
03-01-2000,112.5,101.69,104.87,111.94,4783900,0.860791116
04-01-2000,110.62,101.19,108.25,102.5,4574800,0.788199834
05-01-2000,110.56,103,103.75,104,6949300,0.799734466
06-01-2000,107,95,106.12,95,6856900,0.730526675
07-01-2000,101,95.5,96.5,99.5,4113700,0.76513057
10-01-2000,102.25,94.75,102,97.75,4509500,0.7516735
11-01-2000,99.37,90.5,95.94,92.75,3942400,0.713224728
12-01-2000,95.5,86.5,95,87.19,8714900,0.670469693
13-01-2000,98.75,92.5,94.48,96.75,9220400,0.743983746
14-01-2000,102.25,99.37,100,100.44,3485500,0.77235894
18-01-2000,106,100.44,101,103.94,4099800,0.79927308
19-01-2000,108.75,103.37,105.62,106.56,5336100,0.819420237
20-01-2000,121.5,113.5,115.5,113.5,16349400,0.872787133
21-01-2000,114.25,110.19,114.25,111.31,4427900,0.855946571
24-01-2000,112.75,105.12,108.44,106.25,3936400,0.817036413
25-01-2000,113.12,102.37,105,112.25,4438800,0.86317494
26-01-2000,114.19,109.75,110,110.19,3278200,0.847334046
27-01-2000,113,107,108.81,110,3037000,0.845872992
28-01-2000,110.87,100.62,108.19,101.62,3779900,0.78143285
31-01-2000,103.87,94.5,101,103.75,6265000,0.797812027
01-02-2000,105,100,104,100.25,2839600,0.770897886
02-02-2000,102.12,97,100.75,98.81,4144600,0.75982464
03-02-2000,104.25,100.25,100.31,103.31,4242800,0.794428535
04-02-2000,110,103.62,103.94,108,3797500,0.830493483
07-02-2000,114.25,105.94,108,114.06,3938100,0.877093396
08-02-2000,116.12,111.25,114,114.87,3648600,0.883322097
09-02-2000,117.12,112.44,114.12,112.62,2672900,0.866020149
10-02-2000,113.87,110,112.87,113.5,2705200,0.872787133
11-02-2000,114.12,108.25,113.62,108.75,1895100,0.836260799
14-02-2000,115.87,108.62,109.31,115.81,3281600,0.890550466
15-02-2000,119.94,115.19,115.25,119,4337000,0.915080783
16-02-2000,118.12,112.12,117.75,114.12,3377200,0.877554781
17-02-2000,115.5,113.12,115.19,114.87,2584800,0.883322097
18-02-2000,115.37,110.87,114.62,111.25,2084300,0.855485185
22-02-2000,116.94,106.69,110.12,113.81,3770500,0.875170957
23-02-2000,119,111,113.23,116.25,4224100,0.893933958
24-02-2000,119.12,111.75,117.31,115.2,3361000,0.885859716
25-02-2000,117,110.12,114.81,110.37,2224500,0.848718202
28-02-2000,115,108.37,110.12,113.25,2931500,0.870864694
29-02-2000,117.25,112.56,113.56,114.62,3294300,0.881399658
01-03-2000,132.06,118.5,118.56,130.31,9616100,1.002051906
02-03-2000,127.94,120.69,127,122,2779100,0.938150046
03-03-2000,128.23,120,124.87,128,2887200,0.984288573
06-03-2000,129.13,125,126,125.69,1880000,0.96652524
07-03-2000,127.44,121.12,126.44,122.87,2437600,0.944840132
